# S&P 500 Companies by Market Cap
# Ticker,Name,Price
NVDA,Nvidia,191.27,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Tag_10
NTAP,NetApp,105.69,1,1,1,0,1,1,0,1,1,1
GPC,Genuine Parts Company,149.43,1,1,1,1,1,1,1,1,1,1
LULU,Lululemon Athletica,176.88,1,0,1,0,0,0,0,0,0,0
ALB,Albemarle Corporation,176.03,1,1,0,0,0,0,1,0,0,0
TROW,T. Rowe Price,94.24,0,1,1,1,0,0,1,0,1,0
PFG,Principal Financial Group,92.86,1,1,1,0,0,1,0,1,0,0
CSGP,CoStar Group,48.09,1,1,1,1,1,1,0,1,1,1
GPN,Global Payments,72.67,0,0,0,1,0,0,0,0,0,0
SBAC,SBA Communications,190.43,0,0,1,0,0,1,1,1,1,0
SNA,Snap-on,383.21,0,1,0,0,1,1,0,0,1,0
CNC,Centene Corporation,40.26,1,1,1,0,1,0,1,0,1,1
VRSN,Verisign,215.66,0,0,1,1,1,1,1,0,1,0
WAT,Waters Corporation,331.52,1,1,1,1,0,0,1,1,1,1
IFF,International Flavors & Fragrances,76.65,1,1,1,1,1,1,1,1,1,0
BR,Broadridge Financial Solutions,167.88,0,1,0,1,0,1,1,0,1,0
WY,Weyerhaeuser,27.09,1,1,0,0,0,0,1,0,1,0
INCY,Incyte,99.35,0,1,0,1,1,1,0,1,0,0
LII,Lennox International,553.57,1,1,1,1,1,0,1,1,0,0
LYB,LyondellBasell,59.29,1,0,1,1,1,0,1,1,1,1
SMCI,Supermicro,31.69,0,0,0,0,0,0,0,0,1,0
MKC,McCormick & Company,70.30,1,1,1,0,1,0,0,0,1,1
ZBH,Zimmer Biomet,95.21,1,1,1,1,1,1,1,1,1,1
PTC,PTC Inc.,155.52,0,0,0,1,0,0,0,0,0,0
FTV,Fortive,58.93,0,1,0,0,0,1,1,1,1,0
VTRS,Viatris,16.02,0,1,1,0,0,0,0,1,1,0
EVRG,Evergy,78.94,1,0,1,0,1,0,0,0,0,0
BALL,Ball Corporation,67.29,0,1,1,0,1,0,0,0,0,0
HPQ,HP Inc.,19.63,0,0,0,1,0,0,1,1,0,1
WST,West Pharmaceutical Services,247.87,0,1,0,1,1,1,1,1,1,1
PODD,Insulet Corporation,253.09,0,0,1,1,1,1,1,1,0,1
APTV,Aptiv,83.64,1,0,0,1,0,1,1,1,1,0
CDW,CDW,135.32,0,0,1,0,0,0,1,1,1,1
LNT,Alliant Energy,68.17,0,0,0,0,0,0,1,0,0,1
TXT,Textron,96.68,0,1,1,0,1,0,0,0,0,0
ESS,Essex Property Trust,262.76,0,1,0,0,1,0,0,1,1,0
HOLX,Hologic,75.11,1,1,1,1,0,0,1,1,0,1
J,Jacobs Solutions,142.70,1,1,0,1,0,1,0,0,1,1
INVH,Invitation Homes,27.16,1,1,1,1,1,1,1,1,1,1
TKO,TKO Group Holdings,210.88,1,0,1,0,0,0,1,1,0,0
NDSN,Nordson Corporation,295.64,0,0,1,0,0,0,0,0,0,0
DECK,Deckers Brands,115.15,0,0,1,1,1,0,1,0,1,0
PNR,Pentair,99.79,0,1,0,0,0,0,1,0,0,0
COO,Cooper Companies (The),82.84,0,0,1,0,0,0,1,0,0,1
MAA,Mid-America Apartment Communities,136.74,0,0,0,1,0,1,0,0,0,0
FFIV,F5 Inc.,282.22,1,1,0,1,0,0,0,0,0,1
MAS,Masco,76.24,0,1,1,1,1,0,0,0,0,1
IEX,IDEX Corporation,211.28,1,1,1,1,1,1,1,0,1,1
MRNA,Moderna,40.21,0,1,0,1,0,0,0,0,0,0
TRMB,Trimble Inc.,65.06,1,0,0,1,0,0,1,0,0,0
ALLE,Allegion,179.40,0,0,1,1,1,1,1,1,1,0
HII,Huntington Ingalls Industries,392.15,1,0,1,1,0,0,1,1,0,0
CLX,Clorox,125.65,0,0,0,1,0,0,1,1,0,1
CF,CF Industries,97.23,0,0,1,0,1,1,1,0,1,0
GEN,Gen Digital,24.64,1,0,0,0,0,0,0,1,0,0
AVY,Avery Dennison,192.77,1,0,1,1,1,1,1,1,1,1
KIM,Kimco Realty,21.96,0,1,0,1,1,1,1,1,0,1
HAS,Hasbro,105.26,0,0,0,1,0,0,0,0,0,1
ERIE,Erie Indemnity,279.84,1,0,1,1,0,1,0,1,0,0
TYL,Tyler Technologies,339.51,1,0,1,1,1,1,1,1,0,1
UHS,Universal Health Services,231.22,1,0,0,0,0,0,1,0,0,1
BEN,Franklin Resources,27.64,0,0,0,0,1,0,0,0,0,0
ALGN,Align Technology,197.24,0,1,1,1,0,1,0,1,1,1
SOLV,Solventum,81.25,0,0,1,1,1,1,1,0,1,1
BBY,Best Buy,66.84,1,1,1,0,0,0,1,0,0,0
REG,Regency Centers,76.49,0,0,1,1,1,0,1,0,0,1
SWK,Stanley Black & Decker,90.31,0,1,0,0,0,0,0,0,0,0
BF.B,Brown–Forman,30.11,1,0,0,0,1,0,0,1,0,0
BLDR,Builders FirstSource,125.44,0,1,1,0,0,0,0,0,1,1
HST,Host Hotels & Resorts,19.98,0,1,1,1,0,0,1,0,0,0
AKAM,Akamai Technologies,95.00,0,0,0,0,0,0,0,0,1,1
EG,Everest Group,331.67,0,1,1,0,0,1,0,1,0,0
UDR,UDR Inc.,39.84,1,1,1,1,1,1,1,1,0,1
TTD,The Trade Desk Inc.,27.19,1,0,1,1,1,0,1,1,1,1
HRL,Hormel Foods,23.79,0,1,0,0,0,1,0,1,0,0
DPZ,Domino's,385.50,0,0,0,0,0,0,1,1,1,0
ZBRA,Zebra Technologies,250.71,0,0,1,0,1,0,0,1,0,0
GNRC,Generac,214.94,1,0,0,0,0,0,0,0,0,0
FOX,Fox Corporation (Class B),56.02,0,1,0,1,0,0,1,0,1,1
FOXA,Fox Corporation (Class A),61.76,0,1,1,1,1,1,1,0,1,0
GDDY,GoDaddy,91.44,1,1,0,1,0,1,1,1,0,0
PSKY,Paramount Skydance Corp,10.96,1,0,1,0,1,0,1,0,0,0
WYNN,Wynn Resorts,115.18,0,1,0,1,1,1,1,0,0,0
JKHY,Jack Henry & Associates,165.63,1,0,1,0,1,1,0,1,1,1
CPT,Camden Property Trust,111.66,0,0,0,0,1,0,1,0,0,1
DOC,Healthpeak Properties,16.95,0,0,1,1,1,0,1,1,1,1
SJM,J.M. Smucker Company (The),109.98,1,1,1,1,1,1,1,1,1,1
IVZ,Invesco,26.42,1,1,1,1,1,1,1,1,1,1
AES,AES Corporation,16.45,1,0,1,1,1,0,1,1,1,1
IT,Gartner,160.21,1,1,0,1,0,0,0,0,0,1
GL,Globe Life,144.35,0,1,0,0,0,1,1,0,1,1
BAX,Baxter International,22.30,1,0,0,0,1,1,1,1,1,1
PNW,Pinnacle West,95.57,0,0,0,0,1,1,1,0,0,0
RVTY,Revvity,100.89,1,1,1,0,1,0,1,0,1,1
AOS,A. O. Smith,80.03,1,1,1,1,1,1,1,0,1,1
AIZ,Assurant,216.77,0,1,1,1,1,1,1,1,1,1
TAP,Molson Coors Beverage Company,52.98,1,1,1,1,1,0,1,1,1,0
NCLH,Norwegian Cruise Line Holdings,22.76,0,1,0,1,1,1,1,1,1,0
POOL,Pool Corporation,270.70,0,0,0,0,0,0,0,1,1,1
EPAM,EPAM Systems,180.79,1,0,1,0,0,0,0,0,0,1
APA,APA Corporation,28.11,1,1,1,0,1,0,1,1,1,1
TECH,Bio-Techne,63.46,0,0,0,0,0,0,0,0,1,1
MOS,Mosaic Company (The),31.21,0,0,1,1,0,0,1,0,0,0
BXP,BXP Inc.,61.61,1,1,1,1,1,1,1,1,1,1
DVA,DaVita,144.55,1,1,1,1,0,1,1,1,1,1
SWKS,Skyworks Solutions,63.62,0,1,0,1,0,1,0,0,0,1
HSIC,Henry Schein,81.21,1,1,1,0,0,0,0,1,0,1
CAG,Conagra Brands,19.95,1,1,1,1,1,1,1,0,1,0
MGM,MGM Resorts,36.39,0,0,0,0,0,1,0,0,0,1
ARE,Alexandria Real Estate Equities,53.92,1,1,1,1,1,1,1,1,1,1
FRT,Federal Realty Investment Trust,107.14,1,0,1,0,0,0,1,0,1,0
CPB,Campbell Soup Company,29.16,1,1,0,0,0,0,0,0,1,1
NWSA,News Corp (Class A),23.30,0,0,1,0,0,0,0,0,0,0
CRL,Charles River Laboratories,164.83,0,1,1,1,1,0,1,0,0,1
MTCH,Match Group,31.27,0,1,1,0,1,1,0,1,0,1
FDS,FactSet,193.29,1,1,0,1,0,0,1,1,1,1
LW,Lamb Weston,50.33,0,1,0,0,0,0,0,0,0,0
PAYC,Paycom,117.68,0,0,0,0,0,0,1,0,0,0
MOH,Molina Healthcare,122.46,1,1,1,1,1,0,1,1,1,1
NWS,News Corp (Class B),26.91,1,1,1,1,1,1,0,1,1,1
